proposal,rr,hill,aco,kmeans
1.425787354,0.9843875491,1.829771313,2.066697316,
1.42614975,0.8767627446,1.590292793,1.569835177,1.637631858
1.806475067,1.197593228,1.269820947,1.841153165,1.573055766
1.901625824,0.9296131524,1.720376002,1.477974478,0.878038005
1.901228333,0.8753317696,1.211137622,1.873001512,1.536971433
1.426342773,1.104232536,1.197303661,0.9215702184,1.584332552
1.331386566,1.129401949,1.769101276,1.840794177,1.348480274
1.61531601,1.117071723,1.745998834,1.671180785,1.492468278
1.520531464,1.36555777,1.681897658,1.309228543,1.88389915
1.614968109,1.401474349,1.25385452,1.362302401,0.8615994576
1.329165649,1.099211254,1.488723401,1.497126032,1.118228991
1.424569702,1.306237183,1.287942396,1.685001579,1.429901368
1.328993988,0.8711043906,1.152389776,1.116316603,0.9732603778
1.423654938,1.178239731,1.193662574,0.9090622508,0.987985087
1.613282013,1.098285971,1.056848387,1.504189936,0.9357117101
1.517858124,0.9477873348,1.070509543,0.8529328235,1.692224044
1.516963959,1.39747666,1.403809702,0.8801316824,1.467674477
1.990275574,1.194467263,1.48887632,1.578600915,1.529963603
1.136578369,0.9656931597,1.110456763,0.9456314892,1.864042299
1.61020813,1.223922425,1.435198678,2.093102767,1.899001927
1.891696167,1.397511547,1.217685273,1.062984482,1.770728489
1.796672058,1.153782218,1.669320499,1.9736804,1.642387134
2.359783173,1.296203005,1.802298196,1.301980879,1.89878345
1.511109924,0.9852664825,1.629869364,1.003431489,0.9586417481
1.415564728,0.9447304711,1.620683514,2.046870512,1.780640887
1.13091507,1.369351793,1.801858729,1.611269526,1.438856098
1.883943176,0.8757475468,1.220806342,1.236594557,1.710478613
1.412795258,1.029946907,1.050934421,1.290548972,1.772230613
1.59994278,1.21172653,1.345509597,0.8445027964,1.028084897
1.786103821,1.246795002,1.054974163,1.319052431,1.046821427
1.878890228,1.167530353,1.016366239,1.834542016,1.298874763
2.157196045,1.266768277,1.214509624,0.9962329663,1.093376832
1.406089783,0.9594423795,1.763442829,1.999539919,1.258189917
1.592900085,1.2912487,1.276110426,0.8365197254,1.897843593
1.685175323,0.9741253779,1.533668429,1.954364309,1.239313745
1.215323639,1.090235903,1.748955437,1.327802203,0.9176698321
1.869314575,1.406379006,1.626965136,1.328367918,1.747502019
1.588033295,1.32996836,1.164881323,1.857400776,1.183412845
1.772157288,0.9000253298,1.734357063,1.053901477,1.749719722
1.677279663,0.9528999291,1.42087463,0.9822020525,1.060044672
1.303546143,0.8568338688,1.371971809,0.9523769533,1.686820626
1.859896088,0.947995036,1.23394929,1.341308928,1.371090596
1.391979218,1.135095013,1.356776826,1.868280563,1.813933545
1.020365143,0.950080321,1.229383032,2.07744562,1.097379873
2.316772461,1.024200231,1.468215684,1.031881628,0.8103406516
1.668688202,1.16244665,1.711188807,0.9042093069,1.32446294
1.667094421,1.072257119,1.600346104,0.8506747639,1.663844902
1.202454376,0.9334979985,1.429349976,1.369623377,1.707074599
1.293359375,1.289168802,1.673919953,1.140663775,1.810415778
1.571071625,0.810894635,1.651692703,0.9696828639,1.803501999
1.291943359,0.8624832304,1.740931542,1.534589331,1.748847166
1.937375641,1.043677212,1.473308854,1.138870789,1.320145015
1.476305389,0.8833556207,1.645905613,0.8135761854,1.045520353
1.659844208,0.8010640463,1.496245217,1.12594795,1.739411959
1.565074921,0.9967844571,1.480571743,1.640199608,1.806588599
1.932606506,1.196199139,1.793866717,0.9734841122,0.9295471617
1.380704498,1.186439322,1.480114631,1.658725489,1.126624308
1.380336761,1.462747599,1.034077784,0.9872144391,1.579891527
1.471923828,1.288391926,1.109995493,0.8266601494,1.793818257
1.195061493,0.8739765694,1.483696279,1.567800052,1.750976263
1.653346252,1.069324,1.60906966,1.950460815,0.9542068431
1.652737427,1.458351513,1.702038947,1.902183293,1.186975529
1.100722504,1.208688572,1.315602874,1.487324468,1.04032429
1.649802399,0.9666842102,1.568572372,1.976505836,1.824311603
1.557828522,1.207153098,1.462596976,1.209726304,1.67452176
1.557189941,1.245893329,1.579752278,0.987368088,1.04022332
1.373162842,0.8076996358,1.193924456,1.595458892,1.75253581
1.555874634,1.059319057,1.210418546,1.43572238,1.46916742
1.828993988,0.8241826434,1.706048736,2.034292976,1.729488606
1.82796402,0.9475493288,1.520901916,1.08840331,1.053002782
1.370592499,1.024070669,1.046047763,1.034303516,1.716309652
1.917683411,1.404580464,1.121959094,1.069503537,1.667679871
1.5507164,1.417581304,1.406296502,1.662966714,1.389720852
1.550900269,0.8580012606,1.894476551,2.088616998,1.64897333
1.36759491,1.26045738,1.612096203,1.287228366,1.130746817
1.367467499,1.41834866,1.222324705,1.9493204,0.9417016666
1.548308563,1.339157988,1.339927466,1.245077418,1.084714141
1.547631073,1.12985971,1.796620045,1.09088438,1.769602759
1.819290161,1.168123496,1.271569867,1.521251415,1.446583154
1.273639679,1.014006047,1.61383987,1.063650528,1.319994875
1.727189636,1.492826608,1.350360518,1.739384973,1.47810363
1.545352173,0.8983437798,1.133677257,2.096141762,1.091657403
1.634931183,1.149288184,1.279204258,1.370330705,1.583772474
1.543121338,1.439685079,1.81422352,0.9849673995,1.653805246
1.450943756,0.9313008483,1.381009179,1.98499598,0.8791622333
1.720757294,0.8541736848,1.070090535,,1.626086013
1.176595306,1.347386159,1.227975978,,1.063330235
0.995069885,1.40274122,1.335563039,,1.236368872
1.628837585,1.408070678,1.560153531,,1.034347509
1.538630676,0.942285806,1.780993787,,1.146573149
1.538152313,0.8538995731,1.63098214,,1.508329608
1.808280945,1.257839897,1.861676497,,1.113445344
1.446419525,0.9601459066,1.389843751,,0.8047167102
1.807356262,1.254506749,1.048667195,,1.757268238
1.445082855,1.015791655,1.792142763,,1.648140796
0.992879486,1.299010541,1.038856103,,1.137889843
1.173396301,1.463360413,1.895942462,,0.8064168807
1.444541168,1.19672512,1.194457407,,1.454802107
1.444051361,0.879818562,1.49202329,,0.8985797435
1.353705597,1.431861047,1.561490133,,1.521568764
,1.115214675,1.329324101,,1.272217663
,,1.843333912,,1.569682939
,,1.649546739,,1.188579907
,,1.803689372,,
,,1.369283393,,
