E2,E3,E4,E5,E6
7.550876878,6.878312309,7.741897565,7.23839644,6.648976641
7.19230169,6.612287528,7.975752826,7.104734097,6.039514547
6.864207439,6.189682161,8.084748602,8.153517812,6.407800851
7.467079958,7.042379068,8.209006847,7.676254266,7.327099083
5.390601411,7.266594762,8.787741841,7.123266728,6.289041696
6.127227024,7.450440255,6.791557066,7.825283259,7.531837466
6.491451903,6.193566848,8.974220212,7.638455023,7.302176993
5.683241624,7.29713373,7.734101806,8.37063483,7.15197283
7.154529707,6.050856965,8.468443284,8.049210219,6.168117414
6.705759807,5.910682501,8.805834683,8.209719326,6.329201428
5.477445803,7.454669357,7.846205931,7.491266809,6.401179713
6.639645055,7.329570667,7.861507143,6.96907534,6.843599074
7.101652448,6.834159005,7.513381444,7.412064327,7.220195764
4.638396044,6.867832423,8.604498862,8.090048406,7.623130636
5.104520883,7.127930406,7.583865849,8.113916381,7.442623909
7.155760518,7.928325164,7.617799857,7.758644331,6.123314558
6.403354978,8.030088372,6.734656148,7.372487746,7.460494957
4.682271695,8.617610242,8.774443092,7.881364185,6.265305485
6.788376573,8.742492141,8.635576171,8.146293392,6.619053786
7.375320466,6.0915396,8.447456492,8.38451749,7.526212606
7.487311016,7.830554914,7.389829187,7.505976549,7.222931205
5.636808061,6.994014155,8.390801874,8.374673024,6.666586199
7.2418395,6.002384313,7.695426786,7.044795081,6.61360903
6.003429598,8.298593665,6.81943313,8.069103396,6.622497378
5.104567895,6.960776634,7.648853452,7.473108762,6.206954581
7.543814145,6.74997443,7.464376333,7.238875646,7.252454755
6.117027504,6.322845938,7.824269294,7.163777779,6.889960867
6.293250985,8.051382605,7.801892631,7.780194317,7.134614919
7.416407555,8.379015152,7.573243255,8.241316442,6.968911918
6.49129296,7.796563905,7.012039591,7.343282724,7.382546797
7.217084494,7.620633059,8.711508486,7.159458687,7.182515504
5.337422031,6.988478234,6.817453662,7.929050084,6.766524144
5.287510506,8.210358848,6.986535839,8.178546569,7.066731643
4.814044755,7.078564063,7.217526411,8.263603625,6.373391177
6.772654188,7.791213911,6.909762591,8.149910367,6.234839777
5.789766141,7.353341539,7.094364498,7.455885927,5.946041606
4.815015146,8.026214075,7.282964286,6.978234184,7.546608833
7.356133852,6.162329494,8.326474959,7.435910308,6.551169997
4.485391536,6.660927335,7.953327175,6.928853187,7.142272785
4.841398169,6.641210385,8.853905177,8.486797377,7.322014616
4.419257923,7.194153654,8.386009408,7.86407482,7.046500719
5.710383855,8.225662723,7.367930755,7.374640768,7.105256637
6.451062666,7.397983468,8.897060701,7.44501339,6.568944026
6.801984697,8.758369628,8.321100686,7.522717792,6.555146678
4.77129257,7.726384735,8.53011782,7.662144339,6.283626964
5.978287777,8.66880755,6.814735754,7.772269196,7.113485988
5.088165825,6.402608151,7.384867704,7.522876492,6.029926751
6.691704367,8.302216944,7.61447919,8.147567112,7.694620417
5.334733713,7.349337216,7.4973709,7.516977941,6.491800417
7.200066722,7.810686457,7.687316842,7.349832046,7.46655489
6.614505848,8.073687107,7.576390789,8.414729016,7.156013721
5.432361979,8.610870728,7.661136496,7.119312081,6.842232666
6.555030675,7.201735719,8.696259503,7.467282107,7.679298214
5.289086215,6.395153393,8.069350867,7.629062144,6.13164699
4.733787579,7.666938677,7.026829758,7.837943383,7.591608769
6.937148632,8.537021781,6.79577167,7.03422148,7.071577548
4.737972956,6.944008283,7.421965357,7.386015597,6.589114852
6.867432708,8.208303537,7.539626031,8.148445013,6.664321445
6.917045078,8.417945542,6.727990127,7.065523648,7.315487208
6.337696847,7.272314931,8.136633992,7.331161853,7.491883078
5.721043264,8.027996253,8.486672389,7.328638533,6.760821935
5.640179581,8.299773657,6.832131575,8.447074996,7.102899955
5.089602468,8.402303326,7.278722581,7.801992063,6.319684873
5.454367573,7.585750896,8.987475432,8.429342124,7.124427122
5.456175445,6.932670066,8.45442537,6.922390918,6.716893111
6.464716645,7.608489124,8.515999177,7.991749732,6.961031955
6.963267948,7.044691548,8.959847321,7.790759042,6.533533195
7.211113598,6.54243368,8.892629888,8.069477648,7.294029359
7.390542377,8.31891735,8.457925903,7.668524313,7.026233568
7.168491378,7.116455911,8.838383459,7.524305731,6.571813623
6.785588798,8.668851054,8.442467182,6.963181867,6.637866588
5.719801822,8.537443164,8.772241684,8.054906975,5.928935864
6.053188204,8.694458262,7.714401728,7.918472873,6.433788065
5.643607605,7.292967314,8.196709938,8.057759135,5.930780685
6.157795774,7.801252029,8.75925557,8.453579285,5.978685167
